700061	1289	0	0	0	0	1290
800061	1291	0	0	0	0	1292
400061	1293	0	0	0	0	0

70064E	1294	0	0	0	0	1295
80064E	1296	0	0	0	0	1297
40064E	1298	0	0	0	0	0

A10AC8	1195	0	0	0	0	0
70064D	1196	0	0	0	0	1196
80064D	1196	0	0	0	0	1196
40064D	1196	0	0	0	0	0

700062	178	0	0	0	0	178
800062	178	0	0	0	0	178
400062	178	0	0	0	0	0

A103C1	1657	0	0	0	0	0
A101C1	1661	0	0	0	0	0
A107C1	1665	0	0	0	0	0
A10BC1	1669	0	0	0	0	0
910DC1	1673	0	0	0	0	0
A10EC1	1677	0	0	0	0	0
A10FC1	1681	0	0	0	0	0
A116C1	1685	0	0	0	0	0
4117C1	1689	0	0	0	0	0
4120C1	1693	0	0	0	0	0
A105C1	1697	0	0	0	0	0

7000C2	1635	0	0	0	0	1636	
7002C2	1637	0	0	0	0	1638	
7003C2	1639	0	0	0	0	1640
7004C2	1641	0	0	0	0	1642
7005C2	1643	0	0	0	0	1644

8000C2	1645	0	0	0	0	1646
8002C2	1647	0	0	0	0	1648
8003C2	1649	0	0	0	0	1650
8004C2	1651	0	0	0	0	1652
8005C2	1653	0	0	0	0	1654

4000C2	1630	0	0	0	0	0
4002C2	1631	0	0	0	0	0
4003C2	1632	0	0	0	0	0	
4004C2	1633	0	0	0	0	0
4005C2	1634	0	0	0	0	0

7006C1	2071	0	0	0	0	2072
8006C1	2073	0	0	0	0	2074
4006C1	2075	0	0	0	0	0

4007C1	2076	0	0	0	0	0
9007C1	2077	0	0	0	0	2077

7006A6	1274	0	0	0	0	1275
8006A6	1276	0	0	0	0	1277
4006A6	1278	0	0	0	0	0

7006A7	1279	0	0	0	0	1280
8006A7	1281	0	0	0	0	1282
4006A7	1283	0	0	0	0	0

7006A8	1284	0	0	0	0	1285
8006A8	1286	0	0	0	0	1287
4006A8	1288	0	0	0	0	0



A103E8	2062	0	0	0	0	0
A103E6	2069	0	0	0	0	0
A103E9	2070	0	0	0	0	0

700026	2060	0	0	0	0	2060
